A Light in the Attic,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,Three,51.77,In stock (22 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/../../media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,One,53.74,In stock (20 available),historical-fiction_4,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Soumission,http://books.toscrape.com/catalogue/soumission_998/../../media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,One,50.1,In stock (20 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,Four,47.82,In stock (20 available),mystery_3,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/../../media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,Five,54.23,In stock (20 available),history_32,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/../../media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,One,22.65,In stock (19 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/../../media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,Four,33.34,In stock (19 available),business_35,http://books.toscrape.com/catalogue/category/books/business_35/index.html
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/../../media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,Three,17.93,In stock (19 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/../../media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,Four,22.6,In stock (19 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,One,52.15,In stock (19 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Starving Hearts (Triangular Trade Trilogy, #1),http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,Two,13.99,In stock (19 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,Four,20.66,In stock (19 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,Five,17.46,In stock (19 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,Five,52.29,In stock (19 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Rip it Up and Start Again,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,Five,35.02,In stock (19 available),music_14,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,Three,57.25,In stock (19 available),music_14,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Olio,http://books.toscrape.com/catalogue/olio_984/../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,One,23.88,In stock (19 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,One,37.59,In stock (19 available),science-fiction_16,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,Two,51.33,In stock (19 available),politics_48,http://books.toscrape.com/catalogue/category/books/politics_48/index.html
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,Two,45.17,In stock (19 available),travel_2,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
In Her Wake,http://books.toscrape.com/catalogue/in-her-wake_980/../../media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,One,12.84,In stock (19 available),thriller_37,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
